company_name,category_name,status_name,country,state_code,founding_date,funding_type,funded_at,funding_amount
quantance,semiconductor,operating,USA,CA,2006-01-01,series-a,2006-09-15,7000000
citizennet,advertising,operating,USA,CA,2008-01-01,venture,2009-12-30,49999
apixio,analytics,operating,USA,CA,2009-01-01,venture,2010-07-22,1500000
finsphere,mobile,operating,USA,WA,2007-01-01,venture,2012-01-23,11300000
huffingtonpost,news,acquired,USA,NY,2005-05-09,series-a,2005-05-01,2000000
cervilenz,biotech,operating,USA,OH,2008-01-01,series-a,2009-05-06,4000000
buildingsearch-com,web,operating,USA,CA,2008-01-01,angel,2008-01-01,850000
compellon-inc,software,operating,USA,CA,2010-01-01,venture,2012-09-12,709632
applaud,social,operating,USA,OH,2009-01-01,other,2013-03-26,125000
spiracur,medical,operating,USA,CA,2007-01-01,venture,2011-02-01,35000000
motostrano,web,operating,USA,CA,2002-09-02,series-a,2005-01-01,150000
flugen,biotech,operating,USA,WI,2007-01-01,venture,2011-10-06,3276853
bleachers,social,operating,USA,CT,2009-01-01,venture,2013-05-10,1000000
cell-biosciences,biotech,operating,USA,CA,2001-01-01,series-b,2006-01-01,27000000
locbox,web,operating,USA,CA,2010-12-10,series-a,2012-10-31,5100000
tabbedout,hospitality,operating,USA,TX,2009-06-24,series-a,2010-10-04,2050000
inovus-solar,cleantech,operating,USA,ID,,venture,2012-02-14,2150001
formate-dynamics,advertising,operating,USA,CO,,series-b,2010-06-16,5500000
foodspotting,hospitality,acquired,USA,CA,2009-09-01,series-a,2011-01-10,3000000
sanovas,medical,operating,USA,CA,2010-01-01,venture,2012-09-19,6448822
ready-financial-group,finance,operating,USA,ID,2006-01-01,series-b,2009-11-18,7000000
pacific-biosciences,biotech,ipo,USA,CA,,series-c+,2007-01-15,50000000
buddymedia,enterprise,acquired,USA,NY,2007-09-01,series-c+,2011-08-15,54000000
cloudability,enterprise,operating,USA,OR,2011-02-01,other,2013-01-18,158000
ob-hospitalist-group,hospitality,operating,USA,SC,2006-01-01,private-equity,2013-08-12,50572841
jawbone,hardware,operating,USA,CA,1999-01-01,venture,2011-07-12,70000000
dynatrace-software,software,acquired,USA,MA,2005-01-01,series-b,2008-08-06,12900000
book-buyback,ecommerce,operating,USA,UT,2010-09-10,angel,2010-09-10,1000000
augmentix,hardware,operating,USA,TX,2003-01-01,series-b,2005-08-12,8590000
puddingmedia,advertising,operating,USA,CA,2006-01-01,series-a,2008-01-01,8000000
paytango,software,operating,USA,CA,2012-08-01,angel,2013-01-01,700000
luxtera,semiconductor,operating,USA,CA,2001-01-01,series-c+,2006-03-15,22000000
marin-software,advertising,ipo,USA,CA,2006-04-01,series-c+,2009-04-28,13000000
register-my-info,enterprise,operating,USA,AZ,2012-04-11,angel,2013-04-01,250000
chimerix,biotech,operating,USA,NC,2002-01-01,series-c+,2011-02-14,45000000
schemalogic,enterprise,acquired,USA,WA,2001-01-01,other,2010-04-20,120000
buddymedia,enterprise,acquired,USA,NY,2007-09-01,series-b,2008-04-15,6500000
abt-molecular-imaging,medical,operating,USA,TN,2006-01-01,series-c+,2012-09-13,6000000
green-sky-labs,automotive,operating,USA,NY,2012-01-01,other,2013-05-23,300000
foodzie,ecommerce,acquired,USA,CA,,angel,2008-12-16,1000000
aristotle-circle,education,operating,USA,NY,2009-08-01,series-b,2011-04-19,2000000
marcadia-biotech,biotech,operating,USA,IN,,venture,2006-03-01,1000000
exagrid-systems,enterprise,operating,USA,MA,2002-01-01,series-c+,2007-11-08,20000000
greenplum,software,acquired,USA,CA,2003-06-01,other,2007-02-06,4000000
intematix,manufacturing,operating,USA,CA,2000-01-01,series-c+,2006-11-20,16500000
optichron,semiconductor,operating,USA,CA,2003-01-01,venture,2007-10-22,12000000
elevation-pharmaceuticals,biotech,acquired,USA,CA,2007-01-01,series-b,2012-01-04,30000000
revenuescience,advertising,operating,USA,WA,2000-03-01,series-c+,2005-12-19,24000000
bi2-technologies-llc,nonprofit,operating,USA,MA,2006-01-01,venture,2011-08-08,550000
rockyou,games_video,operating,USA,CA,2005-11-01,series-c+,2008-06-09,35000000
dreambox-learning,education,operating,USA,WA,2004-06-08,other,2013-03-18,3000000
halozyme-therapeutics,biotech,operating,USA,CA,,venture,2011-06-08,63000000
citypockets,web,operating,USA,NY,2010-08-26,angel,2011-06-20,750000
teladoc,health,operating,USA,TX,2002-01-01,venture,2009-12-03,9000000
shareable-ink,enterprise,operating,USA,TN,2009-01-01,series-b,2012-06-19,5000000
gogopin,web,operating,USA,WA,2007-03-19,angel,2007-01-01,800000
lived-in,web,operating,USA,CA,2004-02-14,angel,2004-02-14,250000
rypos,cleantech,operating,USA,MA,,series-b,2011-03-21,3150000
cernium,software,operating,USA,VA,1996-01-01,venture,2007-12-04,10000000
twelvefoldmedia,advertising,operating,USA,CA,2004-06-12,series-a,2007-11-20,2500000
exusmed,health,operating,USA,CA,2010-06-01,other,2013-08-27,52000
shopvisible,software,operating,USA,GA,2005-01-01,venture,2009-12-22,823000
netzentry,software,operating,USA,CA,2003-01-01,series-a,2005-05-02,6000000
intradigm-corporation,biotech,acquired,USA,CA,2000-01-01,series-a,2006-11-21,16000000
gynesonics,medical,operating,USA,CA,,angel,2013-01-24,900180
continuity-software,software,operating,USA,NY,2005-01-01,venture,2006-01-03,1000000
utility-scale-solar,cleantech,closed,USA,CA,,venture,2010-06-08,1100000
keas,enterprise,operating,USA,CA,2008-01-01,series-b,2013-06-25,8000000
anchorfree,security,operating,USA,CA,2005-11-28,series-a,2006-01-01,6000000
healthy-humans,other,operating,USA,PA,,angel,2008-07-01,150000
baronova,medical,operating,USA,CA,2006-01-01,series-c+,2013-02-15,27300000
agricultural-food-systems-llc,hospitality,operating,USA,AR,2011-05-19,angel,2013-03-20,15000
kinex-pharmaceuticals,biotech,operating,USA,NY,,venture,2012-08-06,5000000
clearside-biomedical,biotech,operating,USA,GA,2011-01-01,venture,2013-02-12,7899987
carrier-mobile,mobile,operating,USA,MI,2009-05-01,angel,2009-05-28,10000
clever-goats-media,education,operating,USA,NY,2012-01-01,venture,2013-02-06,25000
allegiance,software,operating,USA,UT,2005-01-01,venture,2013-01-17,14154370
simplerelevance,software,operating,USA,IL,2012-01-07,angel,2012-03-01,400000
judicata,legal,operating,USA,CA,2012-01-23,venture,2012-12-11,2000000
social-solutions,software,operating,USA,MD,2006-01-01,series-a,2008-06-25,2750000
gnubio,biotech,operating,USA,MA,2009-01-01,series-a,2010-12-02,3000000
elevance-renewable-sciences,cleantech,operating,USA,IL,2007-11-01,series-c+,2012-07-10,104000000
soundtracker,music,operating,USA,CA,2008-07-04,angel,2008-11-01,150000
currensee,finance,operating,USA,MA,2008-08-01,series-a,2009-10-01,4000000
aileron-therapeutics,biotech,operating,USA,MA,2005-01-01,series-a,2006-12-01,7000000
memento,enterprise,operating,USA,MA,2002-01-01,other,2010-10-15,2000000
stiki-digital,web,closed,USA,CA,2007-03-01,angel,2008-09-01,100000
rapport,hardware,operating,USA,VA,2001-01-01,series-c+,2007-10-23,18500000
bizen,software,operating,USA,TN,2010-09-01,angel,2011-03-01,350000
scvngr,games_video,operating,USA,MA,2008-01-01,series-a,2009-08-13,750000
ocean-power-technologies,cleantech,ipo,USA,NJ,1994-01-01,other,2009-11-01,60940000
greenlancer,cleantech,operating,USA,MI,2011-01-01,series-a,2013-07-11,500000
altheus-therapeutics,biotech,operating,USA,OK,2006-01-01,series-a,2011-12-08,1970243
return-path,messaging,operating,USA,NY,1999-01-01,series-c+,2008-11-03,10000000
geocomtms,software,acquired,USA,GA,1999-01-01,venture,2005-06-16,3070000
layervault,web,operating,USA,NY,,angel,2012-08-17,535000
highwinds,software,operating,USA,FL,2002-01-01,other,2013-08-08,205000000
gennius,biotech,operating,USA,MA,2002-01-01,other,2011-12-19,250000
tb-biosciences,biotech,operating,USA,PA,,series-a,2013-07-18,1500000
little-pim,education,operating,USA,NY,2006-01-01,venture,2012-09-14,1601551
6connect,network_hosting,operating,USA,CA,2009-01-01,series-a,2011-08-23,2000000
square,mobile,operating,USA,CA,2009-02-01,series-c+,2011-06-28,100000000
remedy-pharmaceuticals,biotech,operating,USA,NY,2004-01-01,angel,2011-11-20,500000
invictus-marketing,advertising,operating,USA,CA,2008-01-01,angel,2008-01-01,301000
eyegate-pharmaceuticals,biotech,operating,USA,MA,,series-c+,2011-01-07,5900000
quvium,software,operating,USA,MA,,venture,2012-07-09,460000
twinstrata,enterprise,operating,USA,MA,2007-01-01,venture,2011-08-22,5700000
reshape-medical,medical,operating,USA,CA,,series-a,2007-08-31,3000000
solarflare,enterprise,operating,USA,CA,2005-01-01,other,2012-10-22,2500000
dropifi,software,operating,USA,CA,2011-11-20,angel,2012-01-01,50000
perficient,consulting,ipo,USA,TX,1998-01-01,private-equity,2012-02-08,7573500
conduit,advertising,operating,USA,CA,2005-01-01,venture,2012-04-12,100000000
goldmail,public_relations,operating,USA,CA,2007-01-01,other,2012-04-16,500000
salescrunch,analytics,operating,USA,NY,2010-04-02,angel,2011-01-12,1400000
carrot-medical,medical,operating,USA,WA,,angel,2010-08-15,1400000
pixafy,ecommerce,operating,USA,NY,2010-10-01,other,2013-03-20,415000
intransa,security,operating,USA,CA,2003-01-01,other,2012-07-11,600000
dekko,mobile,operating,USA,CA,2011-01-01,venture,2013-05-09,3200000
ovascience,biotech,operating,USA,MA,,series-a,2011-10-11,6000000
boosterville,finance,operating,USA,TN,2013-02-08,angel,2013-02-01,15000
mevio,games_video,operating,USA,CA,2004-10-01,series-b,2006-09-01,15000000
androjek,biotech,operating,USA,MO,2008-06-01,venture,2011-11-17,400000
allylix,biotech,operating,USA,CA,2002-01-01,venture,2012-03-12,18200000
sumall,enterprise,operating,USA,NY,2011-05-06,series-a,2012-11-21,6000000
quotient-biodiagnostics,biotech,operating,USA,PA,,venture,2012-03-06,11200000
biorelix,biotech,operating,USA,CT,2005-01-01,other,2010-12-23,2400000
anystream,software,acquired,USA,VA,2000-01-01,venture,2000-01-01,44000000
patient-conversation-media,advertising,operating,USA,TX,2009-10-01,venture,2010-04-01,957617
euclid,analytics,operating,USA,CA,,series-a,2011-11-03,5800000
alphaclone,finance,operating,USA,CA,2008-03-01,angel,2010-08-01,325000
apptio,enterprise,operating,USA,WA,2007-11-01,series-b,2009-08-18,14000000
transtech-pharma,biotech,operating,USA,NC,1999-01-01,venture,2010-06-08,50000000
leap2,search,operating,USA,KS,2011-01-11,other,2011-12-01,210000
binoptics,manufacturing,operating,USA,NY,2000-01-01,series-b,2005-02-10,10000000
medminder,medical,operating,USA,MA,,venture,2012-09-11,1000000
shezoom,network_hosting,operating,USA,NY,,series-a,2008-04-04,2000000
newton-peripherals,hardware,operating,USA,MA,2005-01-01,other,2010-01-28,400000
gigya,enterprise,operating,USA,CA,2006-06-01,venture,2013-09-19,25000000
servergy,design,operating,USA,TX,2009-01-01,venture,2012-06-10,5637090
audax-health-solutions,software,operating,USA,DC,2010-01-01,series-b,2013-08-29,20000000
vaxart,biotech,operating,USA,CA,2004-01-01,series-b,2010-03-04,9000000
deem,ecommerce,operating,USA,AZ,2000-01-01,series-c+,2013-09-24,69985435
tristar-investors,mobile,operating,USA,PA,2005-01-01,venture,2012-04-20,15000000
adaptive-biotechnologies,biotech,operating,USA,WA,2009-01-01,venture,2013-07-11,5024792
groupme,messaging,acquired,USA,NY,2010-05-01,series-b,2011-01-04,10600000
excelimmune,biotech,operating,USA,MA,,series-c+,2011-12-20,12000000
exajoule,hardware,operating,USA,CA,2002-01-01,angel,2002-09-01,500000
carmenta-bioscience,biotech,operating,USA,CA,2012-04-09,series-a,2013-08-07,2000000
joyent,enterprise,operating,USA,CA,2004-01-01,series-c+,2012-01-23,85000000
image-stream-medical,medical,operating,USA,MA,1999-05-01,venture,2011-03-04,2000000
fancred,social,operating,USA,MA,2012-08-01,angel,2012-11-28,500000
the-deal-fair,web,operating,USA,PA,2011-03-30,angel,2011-03-30,70000
covi-technologies,security,operating,USA,TX,2002-01-01,venture,2006-07-31,15000000
current-motor-company,automotive,operating,USA,MI,,series-a,2011-05-02,700000
trustedopinion,social,operating,USA,CA,2006-03-01,series-a,2009-09-01,2500000
toura,mobile,acquired,USA,NY,2009-01-01,other,2010-01-27,250000
ekotrope,real_estate,operating,USA,MA,2010-01-01,other,2011-03-31,905000
algevolve,cleantech,operating,USA,MT,2007-01-01,angel,2012-04-05,39200
dealer-ignition,advertising,operating,USA,SC,2007-11-07,other,2009-03-27,100000
milo,web,acquired,USA,CA,2008-01-01,angel,2008-11-01,950000
be-here,public_relations,operating,USA,CA,1996-01-01,series-a,2005-01-19,5000000
stratos-genomics,biotech,operating,USA,WA,2007-01-01,venture,2012-10-10,2000000
servicemesh,enterprise,operating,USA,CA,2008-01-01,venture,2011-11-16,15000000
sproutkin,web,operating,USA,CA,2012-01-01,angel,2013-03-10,1000000
vendscreen,hardware,operating,USA,OR,2010-04-01,venture,2012-12-09,8400000
pricespot,ecommerce,operating,USA,NV,,angel,2013-06-06,100000
bitcasa,enterprise,operating,USA,CA,,series-a,2012-06-20,7000000
cloud-engines,enterprise,operating,USA,CA,2007-03-17,series-b,2012-10-15,4999996
alafair-biosciences,biotech,operating,USA,TX,2011-01-01,venture,2013-09-11,525000
drybar,ecommerce,operating,USA,CA,,venture,2012-01-23,16000000
sumo-logic,analytics,operating,USA,CA,2010-01-01,series-c+,2012-11-29,30000000
tripit,travel,acquired,USA,CA,2006-10-01,angel,2007-04-01,1000000
plex-systems,software,operating,USA,MI,1995-01-01,venture,2009-11-09,6000000
pivotdesk,enterprise,operating,USA,CO,2012-04-01,venture,2012-09-24,3235015
ovagene-oncology,biotech,operating,USA,CA,2009-01-01,other,2012-03-13,516375
livrada,software,operating,USA,CA,2012-01-01,venture,2012-10-23,410816
jumptime,enterprise,acquired,USA,CA,2007-01-01,other,2012-06-28,250000
appfolio,real_estate,operating,USA,CA,2006-01-01,series-b,2008-06-01,22000000
aginfolink,software,closed,USA,CO,1997-01-01,series-c+,2010-02-08,350000
ads-b-technologies,other,operating,USA,AK,2004-01-01,angel,2011-12-21,10000
campus-cellect,software,operating,USA,TX,2005-01-01,angel,2012-07-03,40000
perimeter-esecurity,security,operating,USA,CT,1997-01-01,venture,2007-08-23,50000000
postmates,mobile,operating,USA,CA,2011-05-01,venture,2013-03-19,5000000
brighttax,finance,operating,USA,NY,,private-equity,2013-08-05,50000
chegg,education,ipo,USA,CA,2005-01-01,venture,2011-07-17,6003690
superfish,search,operating,USA,CA,2006-01-01,series-b,2009-01-05,5300000
ooma,hardware,operating,USA,CA,2004-01-01,series-a,2005-01-01,8000000
key-health-institute-of-edmond,medical,operating,USA,OK,2012-01-01,venture,2012-06-07,100000
fancy,web,operating,USA,NY,2009-01-01,series-b,2011-11-01,10000000
twitspark,social,operating,USA,CA,2011-06-01,angel,2012-01-01,1125000
easy-solutions,security,operating,USA,FL,2007-01-01,series-b,2013-05-28,11000000
plizy,photo_video,closed,USA,CA,2010-09-01,series-a,2012-12-13,4000000
bpg-motors,cleantech,operating,USA,MA,2008-01-01,series-a,2009-01-01,1250000
bayru,ecommerce,operating,USA,IL,2007-01-01,other,2012-08-01,960000
integrien,enterprise,acquired,USA,CA,2001-01-01,series-b,2006-06-05,10000000
packet-design,software,operating,USA,CA,2003-01-01,other,2011-10-13,476635
tangent-medical-technologies,medical,operating,USA,MI,,private-equity,2012-06-25,7875004
cool-planet-energy-systems,cleantech,operating,USA,CA,2008-01-01,series-c+,2013-06-07,29900000
kiyon,public_relations,operating,USA,CA,2003-01-01,series-b,2005-08-01,10000000
fancred,social,operating,USA,MA,2012-08-01,angel,2013-06-30,50000
urtak,web,closed,USA,NY,2008-01-01,angel,2012-01-11,500000
cyphermax,hardware,operating,USA,CA,2000-01-01,series-b,2007-02-25,10000000
swift-biosciences,biotech,operating,USA,MI,2010-01-01,series-a,2010-08-19,3000000
ip-street,analytics,operating,USA,WA,2008-01-01,venture,2010-12-09,1584992
recruiting-sports-network,software,operating,USA,CO,2010-01-01,angel,2012-12-04,267800
rent-jungle,search,operating,USA,PA,2009-12-01,other,2010-05-12,72000
bitbend-llc,ecommerce,operating,USA,IL,2011-06-06,angel,2013-09-25,210000
education-elements,education,operating,USA,CA,2010-01-01,series-a,2010-10-01,2100000
digby,mobile,operating,USA,TX,2006-01-01,series-b,2008-10-28,5500000
cx,enterprise,operating,USA,CA,2009-01-01,venture,2011-07-21,5000000
green-chips,cleantech,operating,USA,NV,,other,2011-01-04,75000
motiga,games_video,operating,USA,WA,2010-08-01,venture,2012-07-25,2500000
giant-realm,web,acquired,USA,NY,2007-01-01,series-a,2008-05-08,2000000
engagement-media-technologies,enterprise,operating,USA,NY,2009-01-01,series-a,2011-04-01,3000000
intacct,enterprise,operating,USA,CA,1999-01-01,venture,2008-04-29,15000000
chownow,hospitality,operating,USA,CA,2012-01-01,series-a,2013-06-05,1194901
ntractive,enterprise,operating,USA,ND,2006-01-20,series-a,2008-07-08,570000
digitalpost-interactive,web,closed,USA,CA,,venture,2010-05-04,670525
fancred,social,operating,USA,MA,2012-08-01,angel,2013-06-30,100000
brightkite,social,acquired,USA,CA,2007-01-01,venture,2009-07-06,400000
inentec,cleantech,operating,USA,OR,,venture,2009-09-17,100000
hired,web,operating,USA,CA,2012-05-01,series-a,2013-01-01,2700000
alphabet-energy,cleantech,operating,USA,CA,2009-01-01,angel,2010-05-03,1000000
avid-radiopharmaceuticals,biotech,acquired,USA,PA,2005-01-01,series-c+,2007-05-09,26000000
citelighter,software,operating,USA,NY,2011-01-01,angel,2013-05-27,850000
sandforce,enterprise,acquired,USA,CA,2006-06-01,series-c+,2010-09-14,25000000
bunchball,software,operating,USA,CA,2005-02-01,series-a,2006-10-01,2000000
marklogic,enterprise,operating,USA,CA,2003-01-01,series-b,2003-01-01,12000000
be-great-partners,finance,operating,USA,CA,2012-02-15,venture,2013-07-02,6000000
lifekraze,health,operating,USA,TN,2010-05-01,angel,2011-01-11,1250000
clickst,software,operating,USA,CA,2010-05-01,angel,2008-01-01,500000
st-renatus,medical,operating,USA,CO,,other,2012-12-14,100000
comprehend-systems,enterprise,operating,USA,CA,2010-01-01,series-a,2013-07-11,8400000
gamgee,health,operating,USA,CA,,private-equity,2013-05-21,2000000
leapfrog-on-line,advertising,operating,USA,IL,1995-01-01,series-a,2008-09-17,30000000
socialpicks,web,acquired,USA,NY,2006-01-01,series-a,2007-12-01,500000
sanuwave-health,medical,operating,USA,GA,,venture,2013-04-29,360000
peerapp,software,operating,USA,MA,2004-01-01,series-a,2008-01-01,3000000
neato-robotics,hardware,operating,USA,CA,2009-01-01,series-c+,2012-04-19,12200000
socialvest,ecommerce,operating,USA,GA,2009-01-01,series-a,2011-06-16,1000000
intellikine,biotech,acquired,USA,CA,,series-b,2009-07-22,51000000
affomix-corporation,biotech,operating,USA,CT,,series-a,2008-02-22,7000000
kicksend,photo_video,operating,USA,CA,2011-03-01,series-a,2011-11-03,1800000
digital-lumens,cleantech,operating,USA,MA,2008-01-01,venture,2010-01-05,1300645
solavei,social,operating,USA,WA,2011-01-01,other,2013-06-05,10900000
peeractive,ecommerce,operating,USA,NY,2009-01-01,other,2013-03-29,1135000
piston-cloud-computing,enterprise,operating,USA,CA,2011-01-01,angel,2011-03-01,500000
banksimple,enterprise,operating,USA,OR,2009-01-01,series-b,2011-08-10,10000000
setjam,web,acquired,USA,NY,2009-06-01,venture,2010-02-18,400000
npulse-technologies,network_hosting,operating,USA,VA,2011-01-01,series-a,2013-07-11,1947189
host-analytics,enterprise,operating,USA,CA,2001-01-01,other,2012-07-09,3250000
datallegro,network_hosting,acquired,USA,CA,2003-01-01,series-b,2005-05-02,15000000
o2-secure-wireless,mobile,operating,USA,FL,2003-01-01,venture,2012-09-21,50000000
multigig,semiconductor,acquired,USA,CA,2003-01-01,series-b,2008-05-12,12500000
c8-medisensors,biotech,operating,USA,CA,,venture,2011-12-01,390000
adtuition,advertising,acquired,USA,NY,2008-07-01,series-a,2009-02-01,1300000
rock-health,health,operating,USA,CA,2010-01-01,other,2011-01-04,500000
raydiance,manufacturing,operating,USA,MA,2004-01-01,venture,2009-12-29,3074995
achronix-semiconductor,semiconductor,operating,USA,CA,2004-01-01,other,2013-04-09,3533827
inveshare,public_relations,operating,USA,GA,2003-01-01,series-b,2008-12-10,10000000
bridgevine,ecommerce,operating,USA,FL,2003-01-01,series-c+,2009-06-03,3500000
symform,network_hosting,operating,USA,WA,2007-01-01,venture,2010-07-01,4000000
registerpatient,medical,operating,USA,FL,,series-a,2012-10-09,4100000
meru-networks,mobile,ipo,USA,CA,2002-01-01,other,2012-06-07,12000000
internet-pipeline,software,operating,USA,PA,1995-10-29,private-equity,2012-01-31,71434998
physician-software-systems,education,operating,USA,IL,2011-01-01,venture,2012-03-19,80000
cenerx-biopharma,biotech,closed,USA,NC,,other,2012-06-18,5153674
bazaarvoice,software,ipo,USA,TX,2005-05-01,series-c+,2008-06-18,7100000
slideshare,web,acquired,USA,CA,,series-a,2008-05-07,2700000
everyzing,analytics,operating,USA,MA,2006-01-01,series-c+,2009-05-11,8250000
veran-medical-technologies-inc,medical,operating,USA,MO,,venture,2011-03-17,15000000
peoplelinx,software,operating,USA,PA,2009-01-01,series-a,2013-03-19,3200000
skinny-mom,health,operating,USA,KY,2011-01-01,angel,2013-03-15,100000
songwhale,messaging,operating,USA,PA,2007-01-01,venture,2010-02-12,100000
beacon-enterprise-solutions,enterprise,operating,USA,KY,,venture,2009-12-18,3000000
synapsense,network_hosting,operating,USA,CA,2006-06-01,series-c+,2011-07-19,16000000
alignent-software,software,acquired,USA,CA,2001-01-01,series-a,2005-03-18,6000000
innovation-international,software,operating,USA,KY,2009-08-01,angel,2009-12-15,1000000
my1login,security,operating,USA,CA,2007-09-01,angel,2012-04-13,1000000
lift-worldwide,web,operating,USA,CA,2011-08-22,series-a,2012-11-28,2500000
surf-canyon,search,operating,USA,CA,2006-04-18,angel,2009-08-01,150000
stocktwits,web,operating,USA,CA,2008-01-01,series-a,2009-05-18,800000
ideal-power,cleantech,operating,USA,TX,2007-01-01,other,2010-12-01,1000000
jajah,mobile,acquired,USA,CA,2005-01-01,series-c+,2007-05-01,20000000
aethlon-medical,medical,operating,USA,CA,,other,2013-09-16,400000
ravel-law,search,operating,USA,CA,2012-05-15,angel,2012-07-01,1100000
blackarrow,advertising,operating,USA,CA,,series-b,2007-10-01,12000000
rateelert,finance,operating,USA,MI,2008-09-24,angel,2009-02-01,250000
jibe,enterprise,operating,USA,NY,2010-03-22,series-a,2011-05-19,6000000
oncohealth,biotech,operating,USA,CA,,angel,2011-01-01,1250000
morphcard,software,operating,USA,OH,2012-01-01,other,2012-01-01,20000
ampla-pharmaceuticals,biotech,operating,USA,CA,2006-01-01,venture,2011-05-02,1500000
valkyrie-computer-systems,mobile,operating,USA,IL,,other,2013-04-29,75000
moonfrye,web,operating,USA,CA,2012-01-01,series-a,2013-04-25,2500000
mofuse,mobile,operating,USA,RI,2007-09-01,venture,2012-08-21,525000
adaptiveblue,games_video,operating,USA,NY,2007-01-01,series-b,2008-10-10,4520000
pokitdok,mobile,operating,USA,CA,2011-10-01,other,2012-12-06,200000
double-blue-sports-analytics,software,operating,USA,ME,2012-01-01,other,2013-04-03,7500
clearleap,software,operating,USA,GA,2007-07-01,series-c+,2012-03-27,2756300
imeem,music,acquired,USA,CA,2003-11-01,series-a,2004-09-01,3000000
highlighter,education,operating,USA,WA,2010-08-07,angel,2011-03-15,300000
tryton-medical,medical,operating,USA,NC,2003-01-01,venture,2013-01-09,22267224
miyowa,mobile,acquired,USA,CA,2003-04-14,series-a,2006-09-04,3855600
liverail,advertising,operating,USA,CA,2008-04-01,angel,2008-08-13,1000000
fpsi,other,operating,USA,CA,,other,2013-01-29,1674992
biopsych-health-systems,biotech,operating,USA,TX,2009-01-01,venture,2011-12-05,75000
peek-com,web,operating,USA,CA,,angel,2012-01-01,1370000
intellione,software,operating,USA,GA,,venture,2010-02-18,3800000
trevena,biotech,operating,USA,PA,,other,2011-08-19,10000000
one-season,games_video,operating,USA,CA,2007-06-01,series-a,2009-01-21,3500000
apiphany,software,operating,USA,DC,2011-11-01,other,2013-08-26,600000
moneydesktop,finance,operating,USA,UT,2010-03-01,series-a,2013-06-28,5000000
digital-union,software,operating,USA,CA,,series-a,2008-03-31,1700000
paringenix,biotech,operating,USA,FL,2002-01-01,other,2013-02-19,700000
illumitex,hardware,operating,USA,TX,2005-01-01,series-b,2008-05-30,5250000
fastpoint-games,games_video,acquired,USA,CA,2010-11-29,series-b,2010-03-10,2000000
ucirrus,software,operating,USA,CA,2008-01-01,series-b,2010-10-27,4000000
digigraph-me,software,operating,USA,CA,2011-01-01,venture,2012-01-11,450000
ecullet,other,operating,USA,CA,,venture,2011-07-12,38000000
gaga-sports-entertainment,sports,operating,USA,CA,,angel,2012-03-07,1320495
flexuspine,biotech,operating,USA,PA,2003-01-01,series-a,2011-11-18,2100000
aphios,biotech,operating,USA,MA,,other,2012-01-24,2400000
lumesis,analytics,operating,USA,CT,2010-01-01,series-a,2013-04-01,1981872
altrec,ecommerce,operating,USA,OR,1998-04-01,other,2013-05-21,1750000
good-data,enterprise,operating,USA,CA,2007-05-01,series-c+,2013-06-12,22000000
sensorlogic,enterprise,operating,USA,TX,2002-01-01,series-c+,2008-04-30,9000000
local-corporation,advertising,operating,USA,CA,1999-01-01,venture,2013-04-11,5000000
timesight-systems,security,operating,USA,NJ,2008-01-01,venture,2012-04-20,115000
earlens,other,operating,USA,CA,2005-01-01,venture,2010-05-04,4607086
cape-clear-software,software,operating,USA,CA,1999-01-01,series-c+,2006-04-18,15000000
dapper,advertising,acquired,USA,CA,2006-10-01,series-a,2007-12-01,3000000
mokimobility,mobile,operating,USA,UT,2012-02-09,venture,2013-04-10,2133946
siva-therapeutics,biotech,operating,USA,CO,2011-01-01,venture,2012-12-20,400000
talari-networks,enterprise,operating,USA,CA,2009-01-01,series-a,2009-01-27,6200000
prosper,finance,operating,USA,CA,2006-02-01,private-equity,2013-01-22,20000000
basis-science,health,operating,USA,CA,2011-03-01,series-a,2011-03-22,9000000
foundations-recovery-network,health,operating,USA,TN,1995-01-01,series-b,2011-09-09,7000000
campuslive,advertising,operating,USA,MA,2008-05-01,series-a,2012-07-01,5000000
supportlocal,social,operating,USA,CO,2011-01-03,other,2013-05-08,40000
proteus-biomedical-inc,biotech,operating,USA,CA,2001-01-01,venture,2012-05-16,17500000
mobile-location-ip,mobile,operating,USA,NJ,2008-01-01,series-a,2011-06-01,18000000
home-comfort-zones,hardware,operating,USA,OR,2002-01-01,venture,2010-04-19,1250000
veracode,security,operating,USA,MA,2006-01-01,venture,2006-03-01,7500000
vantage-hospice,biotech,operating,USA,TX,,angel,2012-01-10,686000
intervolve,software,operating,USA,NC,1999-01-01,series-c+,2006-04-25,2000000
silverback-learning-solutions,education,operating,USA,ID,2010-01-01,series-a,2013-06-12,2500000
apigee,enterprise,operating,USA,CA,2004-06-01,series-c+,2012-07-24,20000000
horizon-therapeutics,biotech,ipo,USA,IL,2005-01-01,angel,2012-02-22,32772
hitfix,games_video,operating,USA,CA,2009-01-01,angel,2009-04-01,1000000
tagsys,software,operating,USA,PA,2001-01-01,series-c+,2005-04-18,12200000
corpu,social,operating,USA,PA,,venture,2012-09-26,4500000
livehealthier,health,operating,USA,MD,2005-01-01,angel,2011-11-08,1000000
overture-networks,network_hosting,operating,USA,NC,2000-01-01,other,2013-06-04,10000000
nuorder,fashion,operating,USA,CA,2011-08-01,series-a,2012-10-01,3060000
apogee-informatics,software,operating,USA,OR,2004-01-01,venture,2009-12-28,640013
spotxchange,advertising,operating,USA,CO,2006-11-01,series-a,2010-12-15,12000000
